Erster    ;7208,9 ;Gesamtzeit         ;99602,1     ; ;PipeZeit ;22231,9
          ;2693,3 ;                   ;            ; ;         ;
          ;       ;                   ;            ; ;         ;
Neunter   ;4029,9 ;Gesamtzeit         ;94941,3     ; ;PipeZeit ;22092,4
          ;2665,9 ;Durchschnitt       ;2712,608571 ; ;         ;
          ;2658,3 ;                   ;            ; ;Faktor   ;4,297464286
          ;2677,8 ;                   ;            ; ;         ;
          ;2653,4 ;                   ;            ; ;         ;
          ;2681,1 ;                   ;            ; ;         ;
          ;2668,2 ;                   ;            ; ;         ;
          ;2670,1 ;                   ;            ; ;         ;
          ;2673,1 ;                   ;            ; ;         ;
          ;2654,4 ;                   ;            ; ;         ;
          ;2682,3 ;                   ;            ; ;         ;
          ;2688,9 ;                   ;            ; ;         ;
          ;2673,4 ;                   ;            ; ;         ;
          ;2690,1 ;                   ;            ; ;         ;
          ;2676,6 ;                   ;            ; ;         ;
          ;2666,7 ;                   ;            ; ;         ;
          ;2680,7 ;                   ;            ; ;         ;
          ;2679,6 ;                   ;            ; ;         ;
          ;2696,4 ;                   ;            ; ;         ;
          ;2673   ;                   ;            ; ;         ;
          ;2673,1 ;                   ;            ; ;         ;
          ;2666,8 ;                   ;            ; ;         ;
          ;2677,9 ;                   ;            ; ;         ;
          ;2675   ;                   ;            ; ;         ;
          ;2679,4 ;                   ;            ; ;         ;
          ;2666   ;                   ;            ; ;         ;
          ;2656,4 ;                   ;            ; ;         ;
          ;2668,2 ;                   ;            ; ;         ;
          ;2671,4 ;                   ;            ; ;         ;
          ;2663,7 ;                   ;            ; ;         ;
          ;2668,6 ;                   ;            ; ;         ;
          ;2676,7 ;                   ;            ; ;         ;
          ;2692,3 ;                   ;            ; ;         ;
          ;2673,8 ;                   ;            ; ;         ;
          ;2692,1 ;                   ;            ; ;         ;
          ;       ;                   ;            ; ;         ;
Zehnter   ;3985,9 ;Gesamtzeit         ;93362,7     ; ;PipeZeit ;21836,9
          ;2627,1 ;Durchschnitt       ;2667,505714 ; ;         ;
          ;2624,8 ;                   ;            ; ;Faktor   ;4,275455765
          ;2644,6 ;                   ;            ; ;         ;
          ;2627,8 ;                   ;            ; ;         ;
          ;2632,2 ;                   ;            ; ;         ;
          ;2628,7 ;                   ;            ; ;         ;
          ;2634,3 ;                   ;            ; ;         ;
          ;2605,6 ;                   ;            ; ;         ;
          ;2618,4 ;                   ;            ; ;         ;
          ;2617,8 ;                   ;            ; ;         ;
          ;2626,6 ;                   ;            ; ;         ;
          ;2623,7 ;                   ;            ; ;         ;
          ;2610,7 ;                   ;            ; ;         ;
          ;2654,7 ;                   ;            ; ;         ;
          ;2637,5 ;                   ;            ; ;         ;
          ;2622,8 ;                   ;            ; ;         ;
          ;2626,9 ;                   ;            ; ;         ;
          ;2629,7 ;                   ;            ; ;         ;
          ;2629,8 ;                   ;            ; ;         ;
          ;2624,7 ;                   ;            ; ;         ;
          ;2635,4 ;                   ;            ; ;         ;
          ;2633,3 ;                   ;            ; ;         ;
          ;2630,7 ;                   ;            ; ;         ;
          ;2631,6 ;                   ;            ; ;         ;
          ;2626,9 ;                   ;            ; ;         ;
          ;2646,3 ;                   ;            ; ;         ;
          ;2627,2 ;                   ;            ; ;         ;
          ;2633,2 ;                   ;            ; ;         ;
          ;2622,8 ;                   ;            ; ;         ;
          ;2627,3 ;                   ;            ; ;         ;
          ;2627,2 ;                   ;            ; ;         ;
          ;2620,6 ;                   ;            ; ;         ;
          ;2624   ;                   ;            ; ;         ;
          ;2641,9 ;                   ;            ; ;         ;
          ;       ;                   ;            ; ;         ;
          ;       ;Minimum            ;2594,6      ; ;         ;
          ;       ;Maximum            ;7208,9      ; ;         ;
          ;       ;Durchschnitt       ;2714,606857 ; ;         ;
          ;       ;Median             ;2667,3      ; ;         ;
          ;       ;Standardabweichung ;315,7627807 ; ;         ;
          ;       ;Varianz            ;278090,2135 ; ;         ;
